Order,Family
Aciculata, 
,Onuphidae
Nudibranchia, 
,Dorididae
Polycladida, 
,Stylochidae
Aphragmophora, 
,Sagittidae
Seisonidae, 
,Seisonidae
Enoplida, 
,Leptosomatidae
Nectonematoidea, 
,Nectonematidae
Parachaela, 
,Macrobiotidae
Calanoida, 
,Calanidae
Ophiurida, 
,Amphiuridae
Coronatae, 
,Nausithoidae
Agelasida, 
,Agelasidae
Cestida,
,Cestidae
Copelata, 
,Kowalevskiidae
Lamniformes, 
,Lamnidae
Clupeiformes, 
,Engraulidae
Testudines, 
,Dermochelyidae
Suliformes, 
,Phalacrocoracidae
Artiodactyla, 
,Phocoenidae
,Delphinidae
,Ziphiidae 
,Monodontidae
,Eschrichtiidae
,Balaenopteridae
,Balaenidae
Carnivora, 
,Otarriidae
,Odobenidae
,Phocidae
Eugregarinorida,
,Siedleckiidae
Polyporales,
,Xenasmataceae
Eurotiales,
,Elaphomycetaceae
Labyrinthulida,
Thalassiosirales,
,Skeletonemataceae
Chromulinales,
,Chromulinaceae
Cryptomonadales,
,Cryptomonadaceae
Peridiniales,
,Ceratiaceae
Diplomonadida,
,Hexamitidae
Nassellaria,
Tintinnida,
